senate-bills	294	29157	7.961964536817916	99	99.1734693877551	789.6156462585034
house-bills	1494	60987	20.474297801170742	399	40.821285140562246	835.7871485943775
email-enron	143	10454	2.53328869332313	37	73.1048951048951	185.1958041958042
email-eu	986	209508	2.562403344979667	40	212.48275862068965	544.4665314401623
contact-primary-school	242	106879	2.0958092796526913	5	441.6487603305785	925.6115702479339
contact-high-school	327	172035	2.0502688406428926	5	526.1009174311927	1078.6483180428133
tags-ask-ubuntu	3021	219076	3.113691139148058	5	72.51770936775902	225.7977490897054
tags-math-sx	1627	558272	2.754660810500974	5	343.1296865396435	945.2059004302397
coauth-mag-history	242048	176730	3.158959995473321	925	0.7301444341618192	2.3064970584346907
coauth-dblp	1659954	2871728	3.261583966169498	280	1.7300045663915988	5.642555155142853
